0,2,4603
0,16,1
0,32,3
0,64,6
0,128,7
0,256,22
0,512,35
0,1024,101
0,2048,182
0,4096,277
1,16,1
1,64,1
1,256,3
1,512,14
1,1024,21
1,2048,42
1,4096,20
2,2,4542
2,4,1
2,8,8
2,16,11
2,32,28
2,64,36
2,128,64
2,256,103
2,512,173
2,1024,244
2,2048,27
3,1,98
3,2,4476
3,4,1
3,8,3
3,16,15
3,32,10
3,64,32
3,128,58
3,256,98
3,512,160
3,1024,227
3,2048,59
4,2,4646
4,8,4
4,16,4
4,32,31
4,64,52
4,128,74
4,256,125
4,512,148
4,1024,122
4,2048,31
5,1,41
5,2,4555
5,4,1
5,8,1
5,16,7
5,32,5
5,64,15
5,128,39
5,256,92
5,512,177
5,1024,304
6,16,1
6,32,1
6,64,1
6,128,6
6,256,12
6,512,24
6,1024,57
7,1,8
7,2,4556
7,8,1
7,16,6
7,32,10
7,64,16
7,128,37
7,256,73
7,512,119
7,1024,283
7,2048,128
8,2,4563
8,8,3
8,16,5
8,32,6
8,64,14
8,128,22
8,256,32
8,512,50
8,1024,159
8,2048,319
8,4096,64
