Start to init hits and costs
Finished to init hits and costs
Ref 1 RI 716076 CNT 22
Ref 1 RI 720168 CNT 22
Ref 1 RI 724260 CNT 22
Ref 1 RI 728352 CNT 23
Ref 1 RI 732444 CNT 23
Ref 1 RI 736536 CNT 23
Ref 1 RI 740628 CNT 23
Ref 1 RI 744720 CNT 23
Ref 1 RI 748812 CNT 23
Ref 1 RI 752904 CNT 23
Ref 1 RI 756996 CNT 23
Ref 1 RI 761088 CNT 24
Ref 1 RI 765180 CNT 24
Ref 1 RI 769272 CNT 24
Ref 1 RI 773364 CNT 24
Ref 1 RI 777456 CNT 24
Ref 1 RI 781548 CNT 24
Ref 1 RI 785640 CNT 24
Ref 1 RI 789732 CNT 24
Ref 1 RI 793824 CNT 25
Ref 1 RI 797916 CNT 25
Ref 1 RI 802008 CNT 25
Ref 1 RI 806100 CNT 25
Ref 1 RI 810192 CNT 25
Ref 1 RI 814284 CNT 25
Ref 1 RI 818376 CNT 25
Ref 1 RI 822468 CNT 25
Ref 1 RI 826560 CNT 26
Ref 1 RI 830652 CNT 26
Ref 1 RI 834744 CNT 26
Ref 1 RI 838836 CNT 26
Ref 1 RI 842928 CNT 26
Ref 1 RI 847020 CNT 26
Ref 1 RI 851112 CNT 26
Ref 1 RI 855204 CNT 26
Ref 1 RI 859296 CNT 27
Ref 1 RI 863388 CNT 27
Ref 1 RI 867480 CNT 27
Ref 1 RI 871572 CNT 27
Ref 1 RI 875664 CNT 27
Ref 1 RI 879756 CNT 27
Ref 1 RI 883848 CNT 27
Ref 1 RI 887940 CNT 27
Ref 1 RI 892032 CNT 28
Ref 1 RI 896124 CNT 28
Ref 1 RI 900216 CNT 28
Ref 1 RI 904308 CNT 28
Ref 1 RI 908400 CNT 28
Ref 1 RI 912492 CNT 28
Ref 1 RI 916584 CNT 28
Ref 1 RI 920676 CNT 28
Ref 1 RI 924768 CNT 29
Ref 1 RI 928860 CNT 29
Ref 1 RI 932952 CNT 29
Ref 1 RI 937044 CNT 29
Ref 1 RI 941136 CNT 29
Ref 1 RI 945228 CNT 29
Ref 1 RI 949320 CNT 29
Ref 1 RI 953412 CNT 29
Ref 1 RI 957504 CNT 30
Ref 1 RI 961596 CNT 30
Ref 1 RI 965688 CNT 30
Ref 1 RI 969780 CNT 30
Ref 1 RI 973872 CNT 30
Ref 1 RI 977964 CNT 30
Ref 1 RI 982056 CNT 30
Ref 1 RI 986148 CNT 30
Ref 1 RI 990240 CNT 31
Ref 1 RI 994332 CNT 31
Ref 1 RI 998424 CNT 31
Ref 1 RI 1002516 CNT 31
Ref 1 RI 1006608 CNT 31
Ref 1 RI 1010700 CNT 31
Ref 1 RI 1014792 CNT 31
Ref 1 RI 1018884 CNT 31
Ref 1 RI 1022976 CNT 32
Ref 1 RI 1027068 CNT 32
Ref 1 RI 1031160 CNT 32
Ref 1 RI 1035252 CNT 32
Ref 1 RI 1039344 CNT 32
Ref 1 RI 1043436 CNT 32
Ref 1 RI 1047528 CNT 32
Ref 1 RI 1051620 CNT 32
Ref 1 RI 1055712 CNT 33
Ref 1 RI 1059804 CNT 33
Ref 1 RI 1063896 CNT 33
Ref 1 RI 1067988 CNT 33
Ref 1 RI 1072080 CNT 33
Ref 1 RI 1076172 CNT 33
Ref 1 RI 1080264 CNT 33
Ref 1 RI 1084356 CNT 33
Ref 1 RI 1088448 CNT 34
Ref 1 RI 1092540 CNT 34
Ref 1 RI 1096632 CNT 34
Ref 1 RI 1100724 CNT 34
Ref 1 RI 1104816 CNT 34
Ref 1 RI 1108908 CNT 34
Ref 1 RI 1113000 CNT 34
Ref 1 RI 1117092 CNT 34
Ref 1 RI 1121184 CNT 35
Ref 1 RI 1125276 CNT 35
Ref 1 RI 1129368 CNT 35
Ref 1 RI 1133460 CNT 35
Ref 1 RI 1137552 CNT 35
Ref 1 RI 1141644 CNT 35
Ref 1 RI 1145736 CNT 35
Ref 1 RI 1149828 CNT 35
Ref 1 RI 1153920 CNT 36
Ref 1 RI 1158012 CNT 36
Ref 1 RI 1162104 CNT 36
Ref 1 RI 1166196 CNT 36
Ref 1 RI 1170288 CNT 36
Ref 1 RI 1174380 CNT 36
Ref 1 RI 1178472 CNT 36
Ref 1 RI 1182564 CNT 36
