processing 128 buffers, bufferindex=4194304
hash allocated 0,  hash table size 117480; scaletree size 42705.
processing 256 buffers, bufferindex=4194304
hash allocated 0,  hash table size 172954; scaletree size 26524.
processing 384 buffers, bufferindex=4194304
hash allocated 0,  hash table size 217999; scaletree size 51147.
processing 512 buffers, bufferindex=4194304
hash allocated 0,  hash table size 257663; scaletree size 39766.
processing 640 buffers, bufferindex=4194304
hash allocated 0,  hash table size 293940; scaletree size 27710.
processing 768 buffers, bufferindex=4194304
hash allocated 0,  hash table size 327724; scaletree size 9517.
Starting to print results.
/* Total number of data blocks is 328192 */
/* Total number of accesses is 3225420800 */
/* Bin 0 Distance 0 */	Reuses: 539427328
/* Bin 1 Distance 1 */	Reuses: 2097024
/* Bin 74 Distance 16896 to 17151 */	Reuses: 16680	SLQ: 0
/* Bin 75 Distance 17152 to 17407 */	Reuses: 17199	SLQ: 0
/* Bin 76 Distance 17408 to 17663 */	Reuses: 17319	SLQ: 0
/* Bin 77 Distance 17664 to 17919 */	Reuses: 17713	SLQ: 0
/* Bin 78 Distance 17920 to 18175 */	Reuses: 17829	SLQ: 0
/* Bin 79 Distance 18176 to 18431 */	Reuses: 18227	SLQ: 0
/* Bin 80 Distance 18432 to 18687 */	Reuses: 18197	SLQ: 0
/* Bin 81 Distance 18688 to 18943 */	Reuses: 18737	SLQ: 0
/* Bin 82 Distance 18944 to 19199 */	Reuses: 18774	SLQ: 0
/* Bin 83 Distance 19200 to 19455 */	Reuses: 19325	SLQ: 0
/* Bin 84 Distance 19456 to 19711 */	Reuses: 19283	SLQ: 0
/* Bin 85 Distance 19712 to 19967 */	Reuses: 19841	SLQ: 0
/* Bin 86 Distance 19968 to 20223 */	Reuses: 19790	SLQ: 0
/* Bin 87 Distance 20224 to 20479 */	Reuses: 20358	SLQ: 0
/* Bin 88 Distance 20480 to 20735 */	Reuses: 20141	SLQ: 0
/* Bin 89 Distance 20736 to 20991 */	Reuses: 20869	SLQ: 0
/* Bin 90 Distance 20992 to 21247 */	Reuses: 20804	SLQ: 0
/* Bin 91 Distance 21248 to 21503 */	Reuses: 21223	SLQ: 0
/* Bin 92 Distance 21504 to 21759 */	Reuses: 21395	SLQ: 0
/* Bin 93 Distance 21760 to 22015 */	Reuses: 21817	SLQ: 0
/* Bin 94 Distance 22016 to 22271 */	Reuses: 21904	SLQ: 0
/* Bin 95 Distance 22272 to 22527 */	Reuses: 22332	SLQ: 0
/* Bin 96 Distance 22528 to 22783 */	Reuses: 22326	SLQ: 0
/* Bin 97 Distance 22784 to 23039 */	Reuses: 22756	SLQ: 0
/* Bin 98 Distance 23040 to 23295 */	Reuses: 22921	SLQ: 0
/* Bin 99 Distance 23296 to 23551 */	Reuses: 23358	SLQ: 0
/* Bin 100 Distance 23552 to 23807 */	Reuses: 23432	SLQ: 0
/* Bin 101 Distance 23808 to 24063 */	Reuses: 23872	SLQ: 0
/* Bin 102 Distance 24064 to 24319 */	Reuses: 23850	SLQ: 0
/* Bin 103 Distance 24320 to 24575 */	Reuses: 24478	SLQ: 0
/* Bin 104 Distance 24576 to 24831 */	Reuses: 24261	SLQ: 0
/* Bin 105 Distance 24832 to 25087 */	Reuses: 24897	SLQ: 0
/* Bin 106 Distance 25088 to 25343 */	Reuses: 24862	SLQ: 0
/* Bin 107 Distance 25344 to 25599 */	Reuses: 25313	SLQ: 0
/* Bin 108 Distance 25600 to 25855 */	Reuses: 25567	SLQ: 0
/* Bin 109 Distance 25856 to 26111 */	Reuses: 25825	SLQ: 0
/* Bin 110 Distance 26112 to 26367 */	Reuses: 26079	SLQ: 0
/* Bin 111 Distance 26368 to 26623 */	Reuses: 26337	SLQ: 0
/* Bin 112 Distance 26624 to 26879 */	Reuses: 26385	SLQ: 0
/* Bin 113 Distance 26880 to 27135 */	Reuses: 26845	SLQ: 0
/* Bin 114 Distance 27136 to 27391 */	Reuses: 26996	SLQ: 0
/* Bin 115 Distance 27392 to 27647 */	Reuses: 27463	SLQ: 0
/* Bin 116 Distance 27648 to 27903 */	Reuses: 27510	SLQ: 0
/* Bin 117 Distance 27904 to 28159 */	Reuses: 27974	SLQ: 0
/* Bin 118 Distance 28160 to 28415 */	Reuses: 28020	SLQ: 0
